alg,source,dest,number,time,length,length_at_number_0
esx,Corso Galileo Ferraris Torino,Piazza della Meridiana Genova,5,8.182584285736084,304290.601,179354.366
esx,Corso Galileo Ferraris Torino,Piazza della Meridiana Genova,6,9.756026268005373,323126.891,179354.366
esx,Corso Galileo Ferraris Torino,Via San Martino Savona,0,3.374029874801636,177251.008,177251.008
esx,Corso Galileo Ferraris Torino,Via San Martino Savona,1,3.98035192489624,197908.412,177251.008
esx,Corso Galileo Ferraris Torino,Via San Martino Savona,2,4.509442567825317,209245.731,177251.008
esx,Corso Galileo Ferraris Torino,Via San Martino Savona,3,4.891668558120728,247666.358,177251.008
esx,Corso Galileo Ferraris Torino,Via San Martino Savona,4,5.917530298233032,275648.547,177251.008
esx,Corso Galileo Ferraris Torino,Via San Martino Savona,5,6.520888566970825,309325.99,177251.008
esx,Corso Galileo Ferraris Torino,Via San Martino Savona,6,7.072615623474121,326701.322,177251.008
esx,Corso Garibaldi Como,Via Plinio Como,0,4.167213678359985,35900.647,35900.647
esx,Corso Garibaldi Como,Via Plinio Como,1,4.402501344680786,36081.587,35900.647
esx,Corso Garibaldi Como,Via Plinio Como,2,4.652764797210693,44023.95,35900.647
esx,Corso Garibaldi Como,Via Plinio Como,3,4.851960897445679,47463.157,35900.647
esx,Corso Garibaldi Como,Via Plinio Como,4,5.085814714431763,54883.984,35900.647
esx,Corso Garibaldi Como,Via Plinio Como,5,5.324719429016113,56239.783,35900.647
esx,Corso Garibaldi Como,Via Plinio Como,6,5.794358968734741,72053.979,35900.647
esx,Corso Garibaldi Cremona,Via Solferino Cremona,0,0.7882590293884277,1679.64,1679.64
esx,Corso Garibaldi Cremona,Via Solferino Cremona,1,1.0490903854370115,2257.543,1679.64
esx,Corso Garibaldi Cremona,Via Solferino Cremona,2,1.134774684906006,2966.811,1679.64
esx,Corso Garibaldi Cremona,Via Solferino Cremona,3,1.253077268600464,4965.714,1679.64
esx,Corso Garibaldi Cremona,Via Solferino Cremona,4,1.4162845611572266,5069.459,1679.64
esx,Corso Garibaldi Cremona,Via Solferino Cremona,5,1.610262155532837,5687.822,1679.64
esx,Corso Garibaldi Cremona,Via Solferino Cremona,6,1.7593660354614258,7370.823,1679.64
esx,Corso Garibaldi Vigevano,Via San Rocco Sanremo,0,2.226528644561768,255662.318,255662.318
esx,Corso Garibaldi Vigevano,Via San Rocco Sanremo,1,2.520045518875122,282816.854,255662.318
esx,Corso Garibaldi Vigevano,Via San Rocco Sanremo,2,2.7044055461883545,318426.789,255662.318
esx,Corso Garibaldi Vigevano,Via San Rocco Sanremo,3,2.8897128105163574,337694.924,255662.318
esx,Corso Garibaldi Vigevano,Via San Rocco Sanremo,4,3.1253490447998047,385826.172,255662.318
esx,Corso Garibaldi Vigevano,Via San Rocco Sanremo,5,3.2909553050994877,424604.877,255662.318
esx,Corso Garibaldi Vigevano,Via San Rocco Sanremo,6,3.501441478729248,444404.282,255662.318
esx,Corso Genova Vigevano,Via San Francesco Sanremo,0,2.244339942932129,252802.703,252802.703
esx,Corso Genova Vigevano,Via San Francesco Sanremo,1,2.4829466342926025,284315.994,252802.703
esx,Corso Genova Vigevano,Via San Francesco Sanremo,2,2.7345638275146484,320793.264,252802.703
esx,Corso Genova Vigevano,Via San Francesco Sanremo,3,2.998567581176758,345975.079,252802.703
esx,Corso Genova Vigevano,Via San Francesco Sanremo,4,3.337693929672241,384393.888,252802.703
esx,Corso Genova Vigevano,Via San Francesco Sanremo,5,3.8549726009368896,447723.642,252802.703
esx,Corso Genova Vigevano,Via San Francesco Sanremo,6,4.11517596244812,481114.703,252802.703
esx,Corso Giovanni Lanza Torino,Via San Martino Savona,0,3.175612688064575,175387.558,175387.558
esx,Corso Giovanni Lanza Torino,Via San Martino Savona,1,3.5277607440948486,196515.335,175387.558
esx,Corso Giovanni Lanza Torino,Via San Martino Savona,2,4.048260927200317,208245.009,175387.558
esx,Corso Giovanni Lanza Torino,Via San Martino Savona,3,4.521404504776001,247084.381,175387.558
esx,Corso Giovanni Lanza Torino,Via San Martino Savona,4,5.114007949829102,296709.207,175387.558
esx,Corso Giovanni Lanza Torino,Via San Martino Savona,5,5.891094207763672,313305.268,175387.558
esx,Corso Giovanni Lanza Torino,Via San Martino Savona,6,6.662535667419434,354408.532,175387.558
esx,Corso Giulio Cesare Torino,Piazza Dante Genova,0,3.85376238822937,176697.505,176697.505
esx,Corso Giulio Cesare Torino,Piazza Dante Genova,1,4.348855257034302,177761.596,176697.505
esx,Corso Giulio Cesare Torino,Piazza Dante Genova,2,5.077378273010254,201512.827,176697.505
esx,Corso Giulio Cesare Torino,Piazza Dante Genova,3,6.103788614273071,231865.7,176697.505
esx,Corso Giulio Cesare Torino,Piazza Dante Genova,4,7.095548629760742,260515.202,176697.505
esx,Corso Giulio Cesare Torino,Piazza Dante Genova,5,7.845569849014282,274143.44,176697.505
esx,Corso Giulio Cesare Torino,Piazza Dante Genova,6,8.703888893127441,301292.125,176697.505
esx,Corso Giulio Cesare Torino,Via XX Settembre La Spezia,0,3.523869752883911,281765.178,281765.178
esx,Corso Giulio Cesare Torino,Via XX Settembre La Spezia,1,4.093479156494141,295604.394,281765.178
esx,Corso Giulio Cesare Torino,Via XX Settembre La Spezia,2,4.600379705429077,311173.803,281765.178
esx,Corso Giulio Cesare Torino,Via XX Settembre La Spezia,3,4.935898065567017,321177.895,281765.178
esx,Corso Giulio Cesare Torino,Via XX Settembre La Spezia,4,5.885401964187622,374132.342,281765.178
esx,Corso Giulio Cesare Torino,Via XX Settembre La Spezia,5,6.13626766204834,379048.035,281765.178
esx,Corso Giulio Cesare Torino,Via XX Settembre La Spezia,6,7.364255905151367,422896.391,281765.178
esx,Corso IV Novembre Torino,Lungomare Bettolo Recco,0,3.662604093551636,197677.065,197677.065
esx,Corso IV Novembre Torino,Lungomare Bettolo Recco,1,4.136516809463501,203041.569,197677.065
esx,Corso IV Novembre Torino,Lungomare Bettolo Recco,2,4.746575117111206,254999.62,197677.065
esx,Corso IV Novembre Torino,Lungomare Bettolo Recco,3,5.397890329360962,279190.986,197677.065
esx,Corso IV Novembre Torino,Lungomare Bettolo Recco,4,5.862140893936157,313065.374,197677.065
esx,Corso IV Novembre Torino,Lungomare Bettolo Recco,5,6.828519105911255,382606.513,197677.065
esx,Corso IV Novembre Torino,Lungomare Bettolo Recco,6,7.840900182723999,433698.57,197677.065
esx,Corso Inghilterra Torino,Piazza Matteotti Genova,0,4.307231187820435,177420.263,177420.263
